Tempo;Densidade;Assortatividade;Clusterizacao;Grau_medio;Numero_de_arestas;Numero_de_vertices
50340.0;0.0012;0.8522;0.3857;2.0;3078;2268
50400.0;0.0011;0.7786;0.3821;2.0;3139;2411
50460.0;0.001;0.7973;0.4013;2.0;3312;2541
50520.0;0.001;0.8281;0.391;2.0;3581;2713
50580.0;0.001;0.835;0.3971;2.0;3909;2807
50640.0;0.001;0.8562;0.4131;2.0;4282;2950
50700.0;0.001;0.7933;0.4154;2.0;4219;2974
50760.0;0.001;0.8213;0.4225;3.0;4535;2952
50820.0;0.001;0.7677;0.4335;3.0;4543;3016
50880.0;0.001;0.8247;0.431;3.0;5022;3113
50940.0;0.001;0.8618;0.4361;3.0;4798;3087
51000.0;0.001;0.8117;0.407;2.0;4549;3060
51060.0;0.0011;0.8014;0.4341;3.0;4705;2955
51120.0;0.001;0.8076;0.4321;2.0;4342;2924
51240.0;0.001;0.8242;0.5174;2.0;4571;3048
51300.0;0.001;0.797;0.4198;2.0;3827;2780
51360.0;0.0011;0.8466;0.4265;2.0;4060;2761
51420.0;0.001;0.8008;0.4215;2.0;3827;2704
51480.0;0.0011;0.8323;0.3936;2.0;3694;2653
51540.0;0.001;0.8358;0.4338;2.0;3771;2698
51600.0;0.0011;0.8067;0.3969;2.0;3847;2703
51660.0;0.0011;0.8121;0.4078;2.0;4010;2702
51720.0;0.001;0.8329;0.4005;2.0;3786;2703
51780.0;0.001;0.8052;0.3981;2.0;3740;2771
51840.0;0.001;0.8465;0.3994;2.0;3987;2800
51900.0;0.001;0.7788;0.4151;2.0;3854;2785
51960.0;0.001;0.7871;0.3596;2.0;3510;2674
52020.0;0.001;0.7712;0.4062;2.0;3643;2677
52080.0;0.0011;0.8518;0.4114;2.0;3955;2733
52140.0;0.001;0.8489;0.3799;2.0;3575;2617
52200.0;0.0011;0.8365;0.426;2.0;3955;2736
52260.0;0.0011;0.8689;0.4204;3.0;4138;2754
52320.0;0.001;0.7456;0.4088;2.0;4216;2856
52380.0;0.0011;0.8147;0.433;3.0;4446;2905
52440.0;0.001;0.8593;0.4294;2.0;4284;2936
52500.0;0.001;0.7584;0.4266;2.0;4275;2971
52560.0;0.001;0.7747;0.4114;2.0;4431;3017
52620.0;0.001;0.8464;0.4281;2.0;4243;2927
52680.0;0.001;0.8193;0.4131;3.0;4519;2980
52740.0;0.001;0.8518;0.4167;3.0;4547;2963
52800.0;0.001;0.8013;0.434;3.0;4581;2991
52860.0;0.0011;0.8014;0.4235;3.0;4801;3020
52920.0;0.001;0.8468;0.4031;2.0;4425;3004
52980.0;0.001;0.8135;0.4253;3.0;4682;3093
53040.0;0.0009;0.7696;0.4157;2.0;4755;3204
53100.0;0.0009;0.8066;0.4116;2.0;4728;3221
53160.0;0.0009;0.83;0.4317;3.0;5212;3351
53220.0;0.0009;0.8022;0.4101;3.0;5412;3483
53280.0;0.0009;0.7958;0.4106;3.0;5555;3580
53340.0;0.0009;0.8024;0.4463;3.0;5884;3653
53400.0;0.0009;0.8313;0.4406;3.0;5914;3598
53460.0;0.001;0.8333;0.47;3.0;6030;3544
53520.0;0.001;0.9063;0.4349;3.0;6096;3456
53580.0;0.001;0.8107;0.4384;3.0;5366;3276
53640.0;0.001;0.7786;0.404;3.0;4875;3202
53700.0;0.001;0.7938;0.4365;2.0;4501;3007
53760.0;0.001;0.8198;0.4248;3.0;4440;2933
53820.0;0.001;0.7959;0.4377;2.0;4504;3016
53880.0;0.0009;0.8023;0.4367;2.0;4406;3053
53940.0;0.0009;0.7619;0.4163;2.0;4482;3158
54000.0;0.0009;0.8642;0.4377;3.0;5254;3436
54060.0;0.0009;0.86;0.4724;3.0;6780;3815
54120.0;0.0009;0.8208;0.4746;3.0;7919;4173
54180.0;0.0009;0.8485;0.4832;3.0;9318;4676
54240.0;0.0008;0.8215;0.4854;4.0;10095;4918
54300.0;0.0008;0.7933;0.4901;4.0;10870;5222
54360.0;0.0008;0.846;0.493;4.0;11606;5358
54420.0;0.0008;0.8861;0.4945;4.0;11685;5312
54480.0;0.0008;0.8046;0.4908;4.0;11740;5334
54540.0;0.0008;0.8665;0.4656;4.0;10938;5121
54600.0;0.0009;0.8252;0.4793;4.0;11915;5011
54660.0;0.0009;0.7892;0.4606;4.0;10830;4783
54720.0;0.0009;0.7664;0.4636;4.0;9584;4680
54780.0;0.0009;0.8338;0.473;4.0;9860;4621
54840.0;0.001;0.8316;0.4823;4.0;9399;4416
54900.0;0.0009;0.7907;0.4463;3.0;8297;4241
54960.0;0.0009;0.6661;0.4485;3.0;8218;4293
55020.0;0.0009;0.7706;0.4544;3.0;7834;4114
55080.0;0.0008;0.767;0.4314;3.0;7149;4115
55140.0;0.0009;0.7739;0.4756;3.0;7991;4118
55200.0;0.0009;0.7443;0.4365;3.0;7279;4069
55260.0;0.0008;0.8238;0.4606;3.0;7312;4184
55320.0;0.0009;0.808;0.4685;3.0;7469;4075
55380.0;0.0009;0.8434;0.4458;3.0;7796;4066
55440.0;0.0009;0.8374;0.4466;3.0;7374;3958
55500.0;0.001;0.8753;0.4952;4.0;8532;4071
55560.0;0.0009;0.7946;0.4493;3.0;7626;4135
55620.0;0.0009;0.8237;0.4412;3.0;7998;4173
55680.0;0.0009;0.8446;0.446;3.0;7831;4122
55740.0;0.0009;0.896;0.4456;3.0;8196;4314
55800.0;0.0009;0.8003;0.4631;4.0;8879;4355
55860.0;0.0009;0.8605;0.4667;4.0;9715;4643
55920.0;0.0009;0.8528;0.4722;4.0;10358;4918
55980.0;0.0008;0.8503;0.481;4.0;10700;5141
56040.0;0.0008;0.8483;0.4838;4.0;12251;5402
56100.0;0.0009;0.8891;0.4879;4.0;13766;5667
56160.0;0.0009;0.8716;0.4998;5.0;14951;5872
56220.0;0.0009;0.8797;0.5155;5.0;16598;6063
56280.0;0.0009;0.8645;0.4904;5.0;16534;6236
56340.0;0.0008;0.866;0.4898;5.0;16425;6314
56400.0;0.0009;0.8699;0.503;5.0;18366;6472
56460.0;0.0009;0.8777;0.5084;5.0;18544;6497
56520.0;0.0009;0.8718;0.4982;5.0;18661;6484
56580.0;0.0009;0.8261;0.5031;5.0;18810;6585
56640.0;0.0008;0.8189;0.4869;5.0;18026;6538
56700.0;0.0009;0.8352;0.4826;5.0;19064;6612
56760.0;0.001;0.7963;0.5;6.0;20436;6491
56820.0;0.0009;0.7869;0.4939;6.0;20008;6540
56880.0;0.0009;0.7389;0.485;5.0;19946;6668
56940.0;0.0009;0.8041;0.4833;6.0;20439;6725
57000.0;0.0008;0.7572;0.4827;5.0;19559;6872
57060.0;0.0009;0.7934;0.4982;6.0;20615;6866
57120.0;0.0009;0.7231;0.4909;5.0;20237;6857
57180.0;0.0009;0.7918;0.4879;5.0;20369;6854
57240.0;0.0008;0.6625;0.4822;5.0;18390;6648
57300.0;0.0008;0.8205;0.4774;5.0;18180;6583
57360.0;0.0008;0.7739;0.4835;5.0;18720;6659
57420.0;0.0009;0.8371;0.4834;5.0;18990;6524
57480.0;0.0009;0.7468;0.4945;5.0;19221;6570
57540.0;0.0009;0.7755;0.5076;5.0;19999;6725
57600.0;0.0008;0.7525;0.4886;5.0;19246;6861
57660.0;0.0008;0.7566;0.5009;5.0;21269;7123
57720.0;0.0008;0.7632;0.4973;5.0;21548;7427
57780.0;0.0008;0.7602;0.5149;5.0;23485;7909
57840.0;0.0007;0.7906;0.5095;6.0;26112;8385
57900.0;0.0008;0.8133;0.5269;7.0;31582;8888
57960.0;0.0008;0.7848;0.5113;7.0;32747;9279
58020.0;0.0008;0.7759;0.5277;7.0;36041;9544
58080.0;0.0008;0.7558;0.5168;7.0;37346;9601
58140.0;0.0008;0.7791;0.5097;7.0;38959;9876
58200.0;0.0009;0.7147;0.5265;8.0;40476;9685
58260.0;0.0008;0.6877;0.4891;7.0;36471;9607
58320.0;0.0008;0.7136;0.4831;7.0;36237;9402
58440.0;0.001;0.8729;0.5839;9.0;41974;9305
58500.0;0.0009;0.674;0.495;7.0;33019;8797
58560.0;0.0009;0.6057;0.5011;7.0;33398;8758
58620.0;0.0008;0.6438;0.4723;7.0;32092;8709
58680.0;0.0008;0.5835;0.4832;7.0;30880;8677
58740.0;0.0008;0.6169;0.4952;7.0;32008;8899
58800.0;0.0008;0.5821;0.4819;7.0;32832;8821
58860.0;0.0008;0.5968;0.497;7.0;32236;8793
58920.0;0.0009;0.5937;0.4904;7.0;33435;8721
58980.0;0.0008;0.5303;0.4698;6.0;29554;8641
59040.0;0.0009;0.5565;0.4894;7.0;31912;8634
59100.0;0.0009;0.5888;0.5043;7.0;32676;8677
59160.0;0.0009;0.5383;0.4841;7.0;32603;8673
59220.0;0.0009;0.6003;0.4961;7.0;32626;8711
59280.0;0.0008;0.5555;0.5019;7.0;32113;8834
59340.0;0.0008;0.6332;0.5176;7.0;33634;9063
59400.0;0.0008;0.5527;0.5208;7.0;35306;9415
59460.0;0.0008;0.6043;0.5205;7.0;37632;9980
59520.0;0.0007;0.5977;0.5206;7.0;41890;10627
59580.0;0.0007;0.6228;0.5181;8.0;44905;11085
59640.0;0.0007;0.6253;0.517;8.0;49165;11572
59700.0;0.0007;0.6134;0.5221;8.0;50136;11902
59760.0;0.0007;0.5834;0.5056;8.0;52683;11976
59820.0;0.0008;0.5562;0.5174;9.0;55068;12041
59880.0;0.0008;0.6133;0.502;9.0;52960;11755
59940.0;0.0008;0.572;0.4907;9.0;51652;11384
60000.0;0.0008;0.5195;0.495;8.0;49355;10982
60060.0;0.0008;0.5549;0.4761;8.0;44911;10543
60120.0;0.0008;0.5334;0.4691;8.0;42487;10193
60180.0;0.0008;0.4658;0.4831;8.0;39742;9774
60240.0;0.0008;0.5242;0.4643;7.0;37722;9499
60300.0;0.0008;0.498;0.4591;7.0;35192;9176
60360.0;0.0008;0.5383;0.4676;7.0;34656;9033
60420.0;0.0009;0.5388;0.4738;7.0;34444;8930
60480.0;0.0009;0.526;0.4864;7.0;33629;8833
60540.0;0.0008;0.5085;0.4775;7.0;31891;8711
60600.0;0.0008;0.5392;0.4662;6.0;29503;8716
60660.0;0.0008;0.5084;0.4836;7.0;30616;8674
60720.0;0.0008;0.5247;0.485;7.0;30772;8598
60780.0;0.0009;0.5116;0.4848;7.0;30980;8462
60840.0;0.0009;0.5398;0.4698;7.0;29874;8205
60900.0;0.0009;0.4581;0.4812;7.0;28614;8082
60960.0;0.0009;0.4689;0.4716;7.0;27700;7890
61020.0;0.0009;0.5028;0.4799;6.0;27601;7911
61080.0;0.0008;0.481;0.4728;6.0;26785;7997
61140.0;0.0009;0.4768;0.4781;6.0;27170;7905
61200.0;0.0008;0.5062;0.494;6.0;26888;8136
61260.0;0.0009;0.5994;0.5027;7.0;29897;8333
61320.0;0.0009;0.6094;0.4971;7.0;30550;8453
61380.0;0.0009;0.5901;0.5044;7.0;32392;8665
61440.0;0.0008;0.5113;0.5004;7.0;33370;8907
61500.0;0.0008;0.5285;0.4943;7.0;32386;8837
61560.0;0.0008;0.4681;0.4852;7.0;33021;9030
61620.0;0.0008;0.4559;0.508;7.0;34255;9015
61680.0;0.0008;0.4499;0.4867;7.0;32448;8867
61740.0;0.0008;0.4136;0.4836;7.0;31629;8846
61800.0;0.0008;0.4589;0.4806;7.0;32343;8847
61860.0;0.0008;0.4198;0.484;7.0;32143;8705
61920.0;0.0008;0.4207;0.4832;7.0;30899;8553
61980.0;0.0009;0.4783;0.4955;7.0;32458;8590
62040.0;0.0009;0.4841;0.4705;7.0;31034;8528
62100.0;0.0009;0.4116;0.4937;7.0;32246;8607
62160.0;0.0009;0.3685;0.4935;7.0;32186;8321
62220.0;0.0009;0.3491;0.4633;7.0;30118;8333
62280.0;0.0009;0.4492;0.4661;7.0;29930;8193
62340.0;0.0009;0.4836;0.4832;7.0;30638;8067
62400.0;0.0009;0.461;0.4609;7.0;28663;7895
62460.0;0.001;0.4542;0.3762;5.9893;17429;5820
62520.0;0.0015;0.923;0.666;12.1171;48947;8079
62640.0;0.0012;0.8096;0.5421;8.0;33627;7488
62700.0;0.001;0.4974;0.4681;7.0;24578;6999
62760.0;0.001;0.5302;0.4717;7.0;24299;6869
62820.0;0.001;0.4379;0.4699;6.0;21706;6697
62880.0;0.001;0.4612;0.4545;6.0;21349;6614
62940.0;0.001;0.4243;0.4734;6.0;20427;6404
63000.0;0.001;0.5629;0.454;6.0;19075;6312
63060.0;0.0009;0.4466;0.4533;5.0;18389;6249
63120.0;0.0009;0.503;0.4562;5.0;17816;6280
63180.0;0.0009;0.5361;0.4692;5.0;18507;6339
63240.0;0.0009;0.5991;0.4851;6.0;19260;6417
63300.0;0.0009;0.5802;0.4971;6.0;19955;6549
63360.0;0.0009;0.6277;0.4684;5.0;19388;6606
63420.0;0.0009;0.5886;0.5002;6.0;20777;6680
63480.0;0.0009;0.4427;0.4883;6.0;21150;6749
63540.0;0.0009;0.5568;0.4668;6.0;20698;6806
63600.0;0.0009;0.6032;0.4732;6.0;20916;6866
63660.0;0.0009;0.5855;0.4767;5.0;20302;6898
63720.0;0.0009;0.6197;0.4631;5.0;20432;6896
63780.0;0.0008;0.6282;0.4827;6.0;21817;7187
63840.0;0.0008;0.484;0.4878;6.0;21780;7177
63900.0;0.0008;0.5306;0.4952;6.0;22538;7362
63960.0;0.0009;0.5265;0.4997;6.0;23556;7296
64020.0;0.0008;0.4783;0.4901;6.0;23298;7440
64080.0;0.0008;0.4491;0.4869;6.0;24404;7742
64140.0;0.0008;0.5412;0.4979;6.0;25225;7765
64200.0;0.0008;0.3901;0.4872;6.0;24916;7809
64260.0;0.0008;0.608;0.4762;6.0;25067;7894
64320.0;0.0009;0.5568;0.4771;6.0;26565;7879
64380.0;0.0009;0.5588;0.4925;6.0;26637;7886
64440.0;0.0008;0.649;0.4636;6.0;24176;7627
64500.0;0.0009;0.5305;0.4842;6.0;24149;7528
64560.0;0.0009;0.599;0.4805;6.0;23483;7350
64620.0;0.0009;0.5207;0.4783;6.0;22587;7288
64680.0;0.0009;0.5602;0.4861;6.0;23131;7171
64740.0;0.0009;0.5486;0.4963;6.0;23264;7370
64800.0;0.0009;0.6376;0.499;6.0;25901;7547
64860.0;0.0008;0.5602;0.507;6.0;26089;7981
64920.0;0.0008;0.5662;0.4874;6.0;26985;8203
64980.0;0.0008;0.4859;0.4885;6.0;27081;8476
65040.0;0.0008;0.5894;0.5074;7.0;32320;8809
65100.0;0.0008;0.6062;0.4884;6.0;31167;9034
65160.0;0.0007;0.5541;0.4826;6.0;31169;9140
65220.0;0.0008;0.5041;0.4856;6.0;31703;9073
65280.0;0.0008;0.4851;0.4918;7.0;31248;8883
65340.0;0.0008;0.5206;0.4835;7.0;31474;8676
65400.0;0.0009;0.4862;0.4896;7.0;30151;8328
65460.0;0.0009;0.5381;0.4743;7.0;28865;8012
65520.0;0.0009;0.4436;0.4619;6.0;27300;7853
65580.0;0.0009;0.4057;0.4507;6.0;24783;7479
65640.0;0.0009;0.4738;0.4285;6.0;23318;7164
65700.0;0.0009;0.4003;0.4419;6.0;22147;6880
65760.0;0.0009;0.3523;0.4382;5.0;19699;6733
65820.0;0.0009;0.4017;0.4544;6.0;19280;6406
65880.0;0.0009;0.3955;0.443;5.0;17973;6176
65940.0;0.001;0.3616;0.4453;5.0;18242;6085
66000.0;0.0009;0.2886;0.4264;5.0;16536;6009
66060.0;0.001;0.4013;0.4548;5.0;16710;5894
66120.0;0.0009;0.403;0.4432;5.0;15076;5688
66180.0;0.0009;0.4527;0.4536;5.0;14836;5601
66240.0;0.0009;0.494;0.4212;4.0;12820;5387
66300.0;0.0009;0.5513;0.4193;4.0;12367;5175
66360.0;0.0009;0.3943;0.4283;4.0;11151;5001
66420.0;0.001;0.4644;0.4349;4.0;11577;4937
66480.0;0.0009;0.4326;0.4344;4.0;10895;4950
66540.0;0.001;0.5799;0.427;4.0;11378;4833
66600.0;0.0009;0.5661;0.4217;4.0;10611;4846
66660.0;0.001;0.6708;0.4486;4.0;11713;4819
66720.0;0.0009;0.4732;0.4651;4.0;11104;4949
66780.0;0.0009;0.4722;0.4402;4.0;10541;4927
66840.0;0.0008;0.3419;0.4468;4.0;10475;4988
66900.0;0.0008;0.4867;0.4268;4.0;10238;4952
66960.0;0.0009;0.2946;0.428;4.0;9557;4717
67020.0;0.0008;0.3231;0.4366;4.0;9672;4822
67080.0;0.0009;0.4754;0.4377;4.0;9497;4638
67140.0;0.0008;0.5349;0.4319;3.0;8606;4647
67200.0;0.0009;0.4617;0.4467;4.0;9259;4600
67260.0;0.0009;0.2986;0.448;4.0;9106;4545
67320.0;0.0009;0.3766;0.4556;4.0;9464;4617
67380.0;0.0009;0.5683;0.4485;4.0;9834;4649
67440.0;0.001;0.5689;0.4514;4.0;9606;4486
67500.0;0.0008;0.5279;0.4204;3.0;8950;4622
67560.0;0.0009;0.5807;0.4452;4.0;9171;4574
67620.0;0.0008;0.6931;0.4336;3.0;8991;4602
67680.0;0.0009;0.5749;0.4641;4.0;9323;4629
67740.0;0.0009;0.6223;0.4668;4.0;9515;4649
67800.0;0.0009;0.7034;0.4444;3.0;9089;4564
67860.0;0.0009;0.5905;0.4473;3.0;8922;4504
67920.0;0.0009;0.7666;0.4494;4.0;9135;4404
67980.0;0.001;0.8338;0.4535;4.0;9538;4333
68040.0;0.001;0.8283;0.467;4.0;8527;4094
68100.0;0.0011;0.8196;0.4472;4.0;8424;3974
68160.0;0.0009;0.7808;0.4118;3.0;6758;3786
68280.0;0.001;0.908;0.5143;3.0;6745;3625
68340.0;0.001;0.8032;0.4065;3.0;5204;3308
68400.0;0.0009;0.8288;0.4037;3.0;5276;3426
68460.0;0.001;0.7478;0.4349;3.0;5836;3443
68520.0;0.0009;0.8041;0.4257;3.0;5748;3493
68580.0;0.001;0.8419;0.4272;3.0;5924;3475
68640.0;0.001;0.7668;0.4655;3.0;6476;3669
68700.0;0.001;0.8105;0.4435;3.0;6459;3668
68760.0;0.0009;0.822;0.4476;3.0;6400;3748
68820.0;0.001;0.822;0.4431;3.0;6759;3754
68880.0;0.0009;0.7958;0.415;3.0;6008;3736
68940.0;0.0009;0.7111;0.4307;3.0;6014;3756
69000.0;0.0009;0.7951;0.4478;3.0;5989;3630
69060.0;0.0009;0.8629;0.3991;2.0;5172;3469
69120.0;0.0009;0.8136;0.4284;3.0;5726;3507
69180.0;0.0009;0.7798;0.4367;3.0;5598;3482
69240.0;0.0009;0.797;0.413;3.0;5365;3478
69300.0;0.001;0.8402;0.4579;3.0;5983;3486
69360.0;0.001;0.8635;0.4406;3.0;6018;3491
69420.0;0.001;0.8123;0.4558;3.0;6159;3534
69480.0;0.0009;0.7712;0.4141;3.0;5326;3508
69540.0;0.0009;0.8291;0.4152;3.0;5399;3476
69600.0;0.0009;0.8295;0.445;3.0;5419;3516
69660.0;0.0009;0.8185;0.4393;3.0;5598;3572
69720.0;0.0009;0.8636;0.4176;3.0;4979;3312
69780.0;0.0009;0.8008;0.4172;3.0;4873;3235
